date_time,return_1h,base_asset_trades_volume_ratio_pred_rtn,Diff_SMA_4h_pred_rtn,quote_asset_Quote_change_14d_pred_rtn,base_asset_Quote_change_14d_pred_rtn,qav_Diff_SMA_4h_pred_rtn,quote_asset_Quote_change_7d_pred_rtn,Diff_SMA_8h_pred_rtn,TVMI_8h_pred_rtn,quote_asset_TVMI_1h_pred_rtn,base_asset_Quote_change_7d_pred_rtn
2024-01-01 00:01:00,0.0044784232169021,0.005942650592786435,0.010989749856164995,0.00769539732793036,0.019037195712653155,0.011010028621230343,0.008872691675544879,0.011075081338866744,0.010725650355931697,0.01102245662003447,0.015735877297171297
2024-01-01 01:01:00,0.0033973672756362,0.008213754560479349,0.010987095113954069,0.006304561904770259,0.022306383011546953,0.011140620274467248,0.011756293516448251,0.01107047720502347,0.010754965223757363,0.010978994451768516,0.009153475871707182
2024-01-01 02:01:00,-0.0006448148677895,0.014418870586936942,0.01098121563619315,0.00518394939631653,0.024851133255328423,0.011634087399906545,0.008773054657614217,0.010910275203518446,0.011399650310000274,0.01124802283750948,0.015969587368514823
2024-01-01 03:01:00,-0.0058798134226801,0.017034439297060302,0.010992451426824968,0.00701995089130779,0.020644591657623723,0.010816141370503305,0.012094027904766623,0.011024189188144254,0.010943961466466059,0.010825069952075184,0.008273553084713439
2024-01-01 04:01:00,0.0015765946499628,0.011151874673758184,0.010989271330158529,0.008587367562979242,0.01702910836913083,0.011051465793121641,0.012367398607532634,0.010948614869507727,0.011225366743880964,0.011023493143308506,0.00760845552852119
2024-01-01 05:01:00,-0.0038645885862674,0.018950705322352566,0.01098760175115619,0.007156635281132353,0.020295866753989686,0.011235407024720706,0.009006865117322925,0.01087922660971973,0.0114769592308947,0.011192486282904328,0.01537228282829483
2024-01-01 06:01:00,0.0035649569697631,0.0031960319593029134,0.010986948130541603,0.005386813551767358,0.024332927483325786,0.011238530984330941,0.009636162095213535,0.010903934771706624,0.011433212391200107,0.010884795806898998,0.013907224661091679
2024-01-01 07:01:00,0.0024444114437112,0.01368927682761939,0.010989672161905642,0.006779339129964574,0.02116845519191507,0.01096432087030641,0.010907745541129716,0.010944069620196844,0.011302831414542847,0.011019714373776251,0.011003077713415863
2024-01-01 08:01:00,0.0014390857572834,0.011951745045112174,0.010990122294191872,0.00604833945413177,0.022853780541952036,0.010985792700168842,0.008861320481848078,0.010950637632768979,0.011296096997237246,0.011039086462642601,0.015734166427351773
2024-01-01 09:01:00,0.002362156653721,0.011713506319839544,0.010994464273191354,0.004527646374080029,0.026337730858992412,0.010662632063432377,0.010249372813536972,0.01104295584776398,0.01082892843890217,0.010833384460746822,0.012571485690777005
2024-01-01 10:01:00,0.000911246041116,0.010789044558983866,0.010993565068086067,0.004272251943009348,0.026936968482991222,0.010746750055452043,0.012073707455808828,0.011040368641777848,0.010846894980973895,0.010978527525105902,0.008396278784371934
2024-01-01 11:01:00,-2.3404021278761178e-06,0.014831965693706125,0.0109924234568916,0.004462987797340113,0.026484724281483504,0.010789845279178284,0.010243698976997076,0.011049673458877859,0.01079293433187922,0.011010499547296316,0.012589247932436138
2024-01-01 12:01:00,-0.0010672258680571,0.009470605689244673,0.010991045301992979,0.008594239191083822,0.017170876555762778,0.010839852218794032,0.007478712083789902,0.011050641605468939,0.010787682977203067,0.010923021366199296,0.018918610122482936
2024-01-01 13:01:00,0.0016845508645331,0.0070408528668451705,0.010985943755661611,0.003950818696458235,0.027632315343125453,0.011313845895922929,0.0070839569362451775,0.010955177577167033,0.01129538523262873,0.011191592057969085,0.01982179309431714
2024-01-01 14:01:00,-0.0025331022433041,0.0154782726764154,0.010992177377982889,0.004022704766309064,0.027445913161050228,0.01089911949741509,0.008257985368435994,0.011038539507834812,0.010853448312655658,0.010886872579092164,0.017092124957694414
2024-01-01 15:01:00,0.0040426210441406,0.007527773305160813,0.010997998938205017,0.006083122025611533,0.022767203532736757,0.010460095150990308,0.010470228615169573,0.011130579214906355,0.010425999755189909,0.010786518692524274,0.011972742085363156
2024-01-01 16:01:00,-0.0013615769069084,0.012003047466434809,0.010994781336400656,0.006215184592367341,0.02248816352243201,0.010695460713414075,0.008623466984917911,0.011081116738190965,0.010683985460253353,0.011066828401483961,0.016269455931210347
2024-01-01 17:01:00,0.002041642013391,0.011756529204744256,0.010983991440186375,0.004944179165981609,0.025352005937258656,0.011411890786491808,0.008413480916324174,0.010933209402655714,0.01135111650212765,0.011226178800036818,0.016752420544873248
2024-01-01 18:01:00,0.0070249959157,0.0070452056950685606,0.011014024509294767,0.02117421178026277,-0.01136451980060392,0.009085107339333357,0.01619481369941971,0.011448398133895407,0.009502187247308336,0.010496696316021877,-0.0010628860353618964
2024-01-01 19:01:00,0.009460461666821,0.006079476393551237,0.011004652886469391,0.01920145909213889,-0.0067926436409432855,0.009854167440096002,0.01844320878947981,0.011336019921533253,0.00993812054872816,0.011013841749212048,-0.00591125597646382
2024-01-01 20:01:00,0.0045251881477266,0.005551431072292987,0.011008509558872498,0.010879165983335243,0.012070597712766317,0.00935120654749079,0.01844320878947981,0.011454508332490499,0.009790310146320655,0.010870922701238043,-0.00591125597646382
2024-01-01 21:01:00,-0.0016798732895575,0.015581850509869627,0.010973945219296387,0.004517413460666003,0.02632254380444218,0.01226249526531786,0.012821724216271934,0.010966038325199446,0.011105310475507089,0.01131076159088922,0.006912255895523373
