date_time,close,return_1h,alpha100_taker_buy_quote_asset_volume___return_1h_pred_rtn,alpha100_number_of_trades___return_1h_pred_rtn,alpha034_taker_buy_base_asset_volume___return_1h_pred_rtn,alpha034_number_of_trades___return_1h_pred_rtn,alpha100_taker_buy_base_asset_volume___return_1h_pred_rtn
2024-01-01 00:01:00,42503.5,0.004478423216902172,-2.4181152237992995e-05,-2.4550619721471602e-06,4.3715103716501144e-05,-3.1144766790935304e-05,-1.7416847236507236e-05
2024-01-01 01:01:00,42647.9,0.0033973672756362205,2.734357893317438e-05,1.0700793864022744e-05,7.562692717288412e-05,-4.321447949634338e-07,-2.7431967220789984e-05
2024-01-01 02:01:00,42620.4,-0.000644814867789556,2.881813545041371e-05,1.0700793864022744e-05,-3.018290045133917e-05,-7.459224263687505e-05,-1.3226890476984188e-05
2024-01-01 03:01:00,42369.8,-0.00587981342268018,0.00013166889280474432,2.3400916693496556e-06,0.00013960633836053484,0.00011462818045472969,1.2725230861200807e-05
2024-01-01 04:01:00,42436.6,0.001576594649962848,-2.4181152237992995e-05,-2.221428198781739e-05,-1.729791035992726e-05,-2.217463268663519e-05,-1.7416847236507236e-05
2024-01-01 05:01:00,42272.6,-0.003864588586267481,4.251291998779245e-05,-2.221428198781739e-05,0.00037343971930977693,0.0002498454464998612,-1.399136022850617e-05
2024-01-01 06:01:00,42423.3,0.003564956969763111,8.010501664579167e-05,-2.2616543972096573e-05,3.7035069347458664e-05,1.091411213718242e-05,1.584122192687577e-05
2024-01-01 07:01:00,42527.0,0.002444411443711214,-3.795499986720516e-05,-2.2616543972096573e-05,-3.0951850435975116e-05,-1.0942665165617356e-05,-2.9057644074600863e-05
2024-01-01 08:01:00,42588.2,0.0014390857572834648,2.8136350505117287e-05,-2.2616543972096573e-05,-1.729791035992726e-05,-3.0128367034064274e-05,1.5815574553382956e-05
2024-01-01 09:01:00,42688.8,0.0023621566537210814,-0.00010743013456613602,-2.2616543972096573e-05,-3.858115868903893e-05,1.3734356953074975e-05,-4.047841641666286e-05
2024-01-01 10:01:00,42727.7,0.0009112460411160317,-2.1570997109803923e-05,-2.2616543972096573e-05,-2.4988391243579616e-05,-3.600422014574589e-05,-4.283892575928117e-06
2024-01-01 11:01:00,42727.6,-2.3404021278761178e-06,-4.2294388095917516e-05,-2.2616543972096573e-05,-3.8133178185647175e-05,-4.952371914078955e-05,-5.136266203996084e-06
